timestamp,iteration,discard_or_keep,model,changes_made,auc_roc,overall_tpr,runtime_seconds,fairness_pass,objective_score
2026-04-21T18:24:44,1,keep,logistic_regression,baseline logistic regression (no tuning),0.9242,0.7728,0.08,FAIL,0.7777
2026-04-28T18:24:44,2,discard,logistic_regression,logistic regression with class_weight=balanced,0.9234,0.8835,0.07,FAIL,0.7734
2026-04-28T18:24:46,3,keep,random_forest,switched to random forest with balanced subsampling,0.9259,0.9068,2.31,FAIL,0.7866
2026-04-28T18:24:47,4,keep,xgboost,switched to gradient-boosted trees (XGBoost) with regularization,0.9322,0.8019,0.47,FAIL,0.8062
2026-04-28T18:24:48,5,keep,xgboost_fairness_tuned,applied fairness-aware threshold tuning on strongest non-linear candidate,0.9322,0.5612,0.93,FAIL,0.8092
2026-05-06T17:36:34,6,keep,Iter 6: XGBoost n=300 depth=4 lr=0.05 min_child_weight=5 gamma=0.1 colsample=0.7 — regularized to reduce age-driven decision boundary,Iter 6: XGBoost n=300 depth=4 lr=0.05 min_child_weight=5 gamma=0.1 colsample=0.7 — regularized to reduce age-driven decision boundary,0.9281,0.8777,0.45,FAIL,0.81
2026-05-06T17:46:20,7,keep,Iter 7: XGBoost (iter6 params) + CalibratedClassifierCV isotonic cv=3 -- age fairness now MACE; sex/race remain equalized odds,Iter 7: XGBoost (iter6 params) + CalibratedClassifierCV isotonic cv=3 -- age fairness now MACE; sex/race remain equalized odds,0.9273,0.8524,1.74,PASS,0.921
2026-05-06T17:46:46,8,keep,Iter 8: XGBoost (iter6 params) + CalibratedClassifierCV sigmoid cv=3 -- Platt scaling vs isotonic; expect smoother calibration curve,Iter 8: XGBoost (iter6 params) + CalibratedClassifierCV sigmoid cv=3 -- Platt scaling vs isotonic; expect smoother calibration curve,0.928,0.8524,1.71,PASS,0.9215
2026-05-06T18:10:22,9,keep,"Iter 12: XGBoost (iter7 base, frozen) + CalibratedClassifierCV isotonic cv=5 -- only change from iter7: cv 3->5","Iter 9: XGBoost (iter6 base, frozen) + CalibratedClassifierCV isotonic cv=5 -- only change from iter6: cv 3->5",0.9285,0.8641,1.46,PASS,0.9237
2026-05-06T18:12:57,10,discard,"Iter 13: XGBoost (iter7 base, frozen) + CalibratedClassifierCV isotonic cv=10 -- only change from iter7: cv 3->10","Iter 10: XGBoost (iter6 base, frozen) + CalibratedClassifierCV isotonic cv=10 -- only change from iter6: cv 3->10",0.9285,0.8641,1.31,PASS,0.9237
2026-05-06T18:13:28,11,discard,"Iter 14: XGBoost (iter7 base, frozen) + two-stage calibration -- global isotonic cv=3 then per-age-quintile isotonic second pass","Iter 11: XGBoost (iter6 base, frozen) + two-stage calibration -- global isotonic cv=3 then per-age-quintile isotonic second pass",0.9191,0.8175,0.67,FAIL,0.9098
